"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","DS18B20Z","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","1565.846","335.000","90","C695837"
"R11","","TopLayer","R0603","1645.000","180.000","180",""
"C13","100nF","TopLayer","CAP_0603","1370.000","379.488","90","CAP CER 0.1UF 50V X7R 0603"
"R24","","TopLayer","R0603","912.441","470.000","0",""
"R22","","TopLayer","R0603","912.441","516.666","0",""
"R20","","TopLayer","R0603","912.441","563.333","0",""
"R18","","TopLayer","R0603","912.441","610.000","0",""
"Q2","SS8049","TopLayer","SOT23","1520.470","594.478","270","NPN Bipolar Transistor"
"Q1","SS8049","TopLayer","SOT23","1629.530","500.522","90","NPN Bipolar Transistor"
"U6","ADS1115IDGSR","TopLayer","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","960.000","375.000","270","C37593"
"U4","MPU-6050","TopLayer","QFN-24_4X4X05P","1155.000","585.000","90","???"
"U2","TPS63020","TopLayer","SON127P750X265-14N","565.000","965.000","180","C15483"
"U1","C701341","TopLayer","ESP32_WROOM","1180.669","1135.472","0","C701341"
"R30","","TopLayer","R0603","965.000","215.000","270",""
"R29","","TopLayer","R0603","1092.441","200.000","180",""
"R28","","TopLayer","R0603","840.000","190.000","0",""
"R27","","TopLayer","R0603","770.000","425.000","180",""
"R26","","TopLayer","R0603","1092.441","245.000","0",""
"R25","","TopLayer","R0603","840.000","245.000","180",""
"R23","","TopLayer","R0603","770.000","470.000","180",""
"R21","","TopLayer","R0603","770.000","515.000","180",""
"R19","","TopLayer","R0603","770.000","560.000","180",""
"R17","","TopLayer","R0603","1146.696","450.046","180",""
"R16","","TopLayer","R0603","1175.000","380.000","270",""
"R15","Res1","TopLayer","R0603","706.627","710.000","180","Res Thick Film 0603 1M Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"
"R14","Res1","TopLayer","R0603","706.627","759.500","0","Res Thick Film 0603 1M Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"
"R13","","TopLayer","R0603","1352.159","518.868","0",""
"R10","","TopLayer","R0603","430.000","785.000","180",""
"R9","","TopLayer","R0603","430.000","845.000","180",""
"R8","Res1","TopLayer","R0603","1645.000","605.000","0","Res Thkflm Anti-sulfurated 0603 100K Ohm 5% SMD"
"R7","Res1","TopLayer","R0603","1490.000","510.000","180","Res Thkflm Anti-sulfurated 0603 100K Ohm 5% SMD"
"R6","","TopLayer","R0603","707.004","806.698","0",""
"R5","","TopLayer","R0603","706.627","863.499","0",""
"R4","","TopLayer","R0603","1645.000","1415.000","180",""
"R3","","TopLayer","R0603","1645.000","1460.000","180",""
"R2","Res1","TopLayer","R0603","1470.000","690.000","180","Res Thick Film 0603 1M Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"
"R1","Res1","TopLayer","R0603","725.000","1305.000","270","Res Thick Film 0603 1M Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"
"Q3","FQD13N10LTM","TopLayer","TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW","535.000","449.603","270",""
"P5","WJ15EDGRC-3.81-2P","TopLayer","CONN-TH_2P-P3.81_WJ15EDGRC-3.81-2P","330.000","290.000","270","C8387"
"P4","Heater jumper","TopLayer","HDR1X2","135.000","595.000","0","Header, 2-Pin"
"P2","Header 6","TopLayer","HDR1X6","1655.000","1075.000","270","Header, 6-Pin"
"P1","WJ15EDGRC-3.81-2P","TopLayer","CONN-TH_2P-P3.81_WJ15EDGRC-3.81-2P","325.000","1350.000","270","C8387"
"L1","L","TopLayer","IND-SMD_L2.3-W1.7-1","560.020","1140.000","0","C393989"
"F1","SMD1812P050TF","TopLayer","SMT_FUSE","227.500","1088.000","0","C12559"
"D1","0805 White","TopLayer","0805_LED_S1","1615.000","690.000","180","LED"
"C19","1uF","TopLayer","CAP_0603","1118.986","320.512","270","CAP CER 0.1UF 50V X7R 0603"
"C18","1uF","TopLayer","CAP_0603","806.008","320.512","270","CAP CER 0.1UF 50V X7R 0603"
"C17","100nF","TopLayer","CAP_0603","1325.000","670.000","0","CAP CER 0.1UF 50V X7R 0603"
"C14","100nF","TopLayer","CAP_0603","1325.000","616.189","0","CAP CER 0.1UF 50V X7R 0603"
"C12","100nF","TopLayer","CAP_0603","1022.214","678.986","0","CAP CER 0.1UF 50V X7R 0603"
"C11","100nF","TopLayer","CAP_0603","565.512","855.000","180","CAP CER 0.1UF 50V X7R 0603"
"C10","100nF","TopLayer","CAP_0603","427.786","1006.014","180","CAP CER 0.1UF 50V X7R 0603"
"C9","100nF","TopLayer","CAP_0603","427.786","956.014","180","CAP CER 0.1UF 50V X7R 0603"
"C8","100nF","TopLayer","CAP_0603","427.786","906.014","180","CAP CER 0.1UF 50V X7R 0603"
"C7","22uF 63V","TopLayer","CAP_SMD_6.3X7.7","235.000","860.000","270","CAP ALUM 22UF 20% 25V SMD"
"C6","100nF","TopLayer","CAP_0603","706.627","911.568","0","CAP CER 0.1UF 50V X7R 0603"
"C5","100nF","TopLayer","CAP_0603","706.627","961.068","0","CAP CER 0.1UF 50V X7R 0603"
"C4","100nF","TopLayer","CAP_0603","706.627","1010.568","0","CAP CER 0.1UF 50V X7R 0603"
"C3","Capacitor Polarized","TopLayer","CAP_CERAM","726.000","1151.000","270","Tantalum Capacitor"
"C2","22uF 63V","TopLayer","CAP_SMD_6.3X7.7","555.000","1350.000","90","CAP ALUM 22UF 20% 25V SMD"
"C1","100nF","TopLayer","CAP_0603","725.000","1414.488","90","CAP CER 0.1UF 50V X7R 0603"
